通知编号,通知时间,通知正文,科室来源
1,2021-04-30 03:27:46,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
2,2021-05-01 15:12:32,"培训通知
一、培训时间
5月10—12号 16:00-17:40
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
3,2021-05-02 15:53:58,"培训通知
一、培训时间
5月2号 16:00-17:35
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
4,2021-05-03 22:16:59,"培训通知
一、培训时间
5月5—6号 16:00-17:35
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
5,2021-05-04 04:20:55,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:11",13
6,2021-05-05 05:33:49,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-9-12  14:00-16:04",13
7,2021-05-06 21:59:34,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
8,2021-05-07 21:51:45,"培训通知
一、培训时间
5月10—20号 14:00-17:33
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
9,2021-05-08 12:37:35,"培训通知
一、培训时间
5月20—22号 16:00-17:30
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
10,2021-05-09 05:31:13,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:09",13
11,2021-05-10 07:59:06,"培训通知
一、培训时间
5月1—2号 16:00-17:36
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
12,2021-05-11 10:04:47,"培训通知
一、培训时间
6月2—3号 16:00-17:40
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
13,2021-05-12 06:32:31,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:13",13
14,2021-05-13 08:54:11,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
15,2021-05-14 01:42:16,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
16,2021-05-15 20:34:29,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:06",13
17,2021-05-16 20:13:41,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
18,2021-05-17 19:34:49,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
19,2021-05-18 07:03:29,"培训通知
一、培训时间
5月1—2号 16:00-17:37
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
20,2021-05-19 20:48:56,"关于成立医院学术委员会的通知 
医院各科室（单位）：
为了加强我院学术管理工作，提高院内业务建设、科研立项、开展新技术、新项目等重大决策的科学性的、民主性的、权威性的，以及开展新项目、新技术和科研项目的可行性、安全性、实用性和社会效益与经济效益。推进医、教、研的全面发展，同时监督和管理全院医疗工作的质量，经研究决定成立学术委员会，学术委员会下设内科、外科和护理三个专业小组，具体内容见规范性文件。",13
21,2021-05-20 22:50:13,"培训通知
一、培训时间
5月1—2号 16:00-17:34
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
22,2021-05-21 17:56:45,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:01",13
23,2021-05-22 15:01:19,"培训通知
一、培训时间
5月1—2号 16:00-17:37
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
24,2021-05-23 19:13:01,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:14",13
25,2021-05-24 06:24:31,"考试通知
各科室：
为进一步提高全院专业技术人员业务水平，有效防范医疗纠纷的发生，按照年初制定的工作计划，准备对全院医师进行急救知识考试，现将相关事宜通知如下。
一、 考核内容  急救理论知识
复习题放在医务科共享里，70%考试题来源复习题，希望各医师认真准备。
二、考试人员  各科室主治医师和住院医师（ 值班人员参加第二轮考试），任何人不得缺席。
朱元琛负责阅卷  李国铭负责监考
三、考试办法  闭卷考试 七楼会议室
四、时间安排  2021-7-4  14:00-16:00",13
26,2021-05-25 02:35:11,"培训通知
一、培训时间
5月1—2号 16:00-17:36
二、培训地点  多媒体小会议室
三、培训内容  急诊收治政策和管理知识
四、参加人员  全体中层干部
HIS科教科",13
